Designator,Footprint,Quantity,Value,LCSC Part #
C14,C_0402_1005Metric,1,100n,C1525
C9,C_0402_1005Metric,1,100n,C1525
R10,R_0402_1005Metric,1,5.1k,C25905
C5,C_0402_1005Metric,1,1µ,C52923
D2,D_SOD-323,1,B5817,C123899
R8,R_0402_1005Metric,1,1k,C11702
U3,SOT-23-5,1,XC6210B332MR-G,C82942
C12,C_0402_1005Metric,1,100n,C1525
R6,R_0402_1005Metric,1,27,C25100
F1,Fuse_0805_2012Metric,1,Polyfuse,C69679
C13,C_0402_1005Metric,1,100n,C1525
R5,R_0402_1005Metric,1,5.1k,C25905
SW2,SW_SPST_CK_KXT3,1,SW_Push,C319433
C8,C_0402_1005Metric,1,100n,C1525
U2,SOIC127P790X216-8N,1,GD25Q80CEIGR,C395484
R4,R_0402_1005Metric,1,5.1k,C25905
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2848619
R2,R_0402_1005Metric,1,10k,C25744
C11,C_0402_1005Metric,1,100n,C1525
R11,R_0402_1005Metric,1,10k,C25744
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24,C2149204
C10,C_0402_1005Metric,1,100n,C1525
C4,C_0402_1005Metric,1,15p,C1548
R7,R_0402_1005Metric,1,27,C25100
FB1,L_0603_1608Metric,1,FerriteBead_Small,C98288
R1,R_0402_1005Metric,1,1k,C11702
D1,LED_0402_1005Metric,1,LED,C130719
C6,C_0402_1005Metric,1,1µ,C52923
C2,C_0402_1005Metric,1,1µ,C19666
SW1,SW_SPST_CK_KXT3,1,SW_Push,C319433
C7,C_0402_1005Metric,1,100n,C1525
R3,R_0402_1005Metric,1,1k,C11702
R9,R_0402_1005Metric,1,10k,C25744
C1,C_0402_1005Metric,1,1µ,C19666
C3,C_0402_1005Metric,1,15p,C1548
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
F2,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Fuse,
F4,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Fuse,
F3,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Fuse,
