Designator,Mid X,Mid Y,Rotation,Layer
C14,155.25,-106.2,0.0,top
C9,147.12,-100.29,180.0,top
D1,155.26,-104.3,180.0,top
R10,154.34,-91.57,90.0,top
C5,156.95,-95.57,-90.0,top
D2,156.15,-89.72,180.0,top
R8,153.31,-104.84,90.0,top
U3,156.33,-87.14,180.0,top
C12,147.8,-95.35,90.0,top
R6,154.32,-93.68,-90.0,top
F1,152.9,-86.8875,-90.0,top
J7,156.4016,-77.624,0.0,top
C13,158.32,-100.18,90.0,top
R5,156.98,-84.8,180.0,top
SW2_2,147.21,-104.59,90.0,top
C8,155.25,-105.25,0.0,top
U2,149.065,-89.495,90.0,top
R4,154.95,-84.87,0.0,top
J1,152.398,-79.0136,180.0,top
R2,157.41,-102.11,0.0,top
C11,157.91,-95.57,-90.0,top
R11,152.64,-91.59,-90.0,top
Y1,150.145,-105.28,180.0,top
C10,152.62,-93.77,90.0,top
C4,152.8356,-106.25,180.0,top
R7,156.05,-93.78,-90.0,top
J6,148.6062,-77.7864,0.0,top
C6,152.66,-89.51,-90.0,top
C2,157.63,-91.66,-90.0,top
SW1,157.44,-104.675,90.0,top
C7,157.61,-93.52,90.0,top
R3,147.22,-101.86,0.0,top
R9,147.3,-84.19,0.0,top
C1,156.03,-91.66,-90.0,top
C3,152.36,-104.86,-90.0,top
U1,152.4,-99.1362,0.0,top
F2,152.51,-79.56,180.0,bottom
F4,153.5744,-105.0646,180.0,bottom
SW2,147.7594,-97.2984,90.0,bottom
boot,151.8584,-105.07,0.0,bottom
